Initial energy [keV];Mean final energy [eV];Mean final energy [keV];Error on mean final energy [eV];Error on mean final energy [keV];Relative error on mean final energy [keV];Mean energy loss [keV];Error on mean energy loss [keV];Number of ions transmitted []
1;0;0,00;0;0,00;0,0000;1,00;0,00;0,00
10;406;0,41;225;0,23;0,5554;9,6;5,3;0,27
20;4152;4,2;1354;1,4;0,3262;15,8;5,2;73,96
30;10461;10,5;1881;1,9;0,1798;19,5;3,5;94,97
40;17461;17,5;2123;2,1;0,1216;22,5;2,7;99,27
50;24931;24,9;2031;2,0;0,0815;25,1;2,0;99,11
60;32640;32,6;2207;2,2;0,0676;27,4;1,8;99,48
70;40630;40,6;2347;2,3;0,0578;29,4;1,7;99,74
80;48851;48,9;2406;2,4;0,0493;31,1;1,5;99,78
90;57191;57,2;2341;2,3;0,0409;32,8;1,3;99,86
100;65637;65,6;2357;2,4;0,0359;34,4;1,2;99,91
120;82739;82,7;2327;2,3;0,0281;37,3;1,0;99,94
140;100057;100,1;2392;2,4;0,0239;39,9;1,0;99,97
160;117531;117,5;2873;2,9;0,0244;42,5;1,0;100,00
180;135421;135,4;2432;2,4;0,0180;44,6;0,8;100,00
200;153372;153,4;2803;2,8;0,0183;46,6;0,9;100,00
225;176206;176,2;5182;5,2;0,0294;48,8;1,4;100,00
250;199321;199,3;3254;3,3;0,0163;50,7;0,8;100,00
